code_insee|nom|epci|libepci
80484|LIOMER|200071181|CC Somme Sud-Ouest
80485|LOEUILLY|200071181|CC Somme Sud-Ouest
80486|LONG|200070936|CC Ponthieu-Marquenterre
80487|LONGAVESNES|200037059|CC de la Haute Somme
80488|LONGPRE-LES-CORPS-SAINTS|200070993|CA de la Baie de Somme
80489|LONGUEAU|248000531|CA Amiens Métropole
80490|LONGUEVAL|200037059|CC de la Haute Somme
80491|LONGUEVILLETTE|200070951|CC du Territoire Nord Picardie
80493|LOUVENCOURT|248000747|CC du Pays du Coquelicot
80494|LOUVRECHY|200070969|CC Avre Luce Noye
80495|LUCHEUX|200070951|CC du Territoire Nord Picardie
80496|MACHIEL|200070936|CC Ponthieu-Marquenterre
80497|MACHY|200070936|CC Ponthieu-Marquenterre
80498|MAILLY-MAILLET|248000747|CC du Pays du Coquelicot
80499|MAILLY-RAINEVAL|200070969|CC Avre Luce Noye
80500|MAISNIERES|200069722|CC Interrégionale Aumale  Blangy-sur-Bresle
80501|MAISON-PONTHIEU|200070936|CC Ponthieu-Marquenterre
80502|MAISON-ROLAND|200070936|CC Ponthieu-Marquenterre
80503|MAIZICOURT|200070951|CC du Territoire Nord Picardie
80504|MALPART|200070977|CC du Grand Roye
80505|MAMETZ|248000747|CC du Pays du Coquelicot
80507|MARCELCAVE|248000499|CC du Val de Somme
80508|MARCHE-ALLOUARDE|200070977|CC du Grand Roye
80509|MARCHELEPOT|200070928|CC Terre de Picardie
80511|MARESTMONTIERS|200070977|CC du Grand Roye
80512|MAREUIL-CAUBERT|200070993|CA de la Baie de Somme
80513|MARICOURT|248000747|CC du Pays du Coquelicot
80514|MARIEUX|248000747|CC du Pays du Coquelicot
80515|MARLERS|200071181|CC Somme Sud-Ouest
80516|MARQUAIX|200037059|CC de la Haute Somme
80517|MARQUIVILLERS|200070977|CC du Grand Roye
80518|MARTAINNEVILLE|200069722|CC Interrégionale Aumale  Blangy-sur-Bresle
80519|MATIGNY|200070985|CC de l'Est de la Somme
80520|MAUCOURT|200070928|CC Terre de Picardie
80521|MAUREPAS|200037059|CC de la Haute Somme
80522|MAZIS|200071181|CC Somme Sud-Ouest
80523|MEAULTE|248000747|CC du Pays du Coquelicot
80524|MEHARICOURT|200070928|CC Terre de Picardie
80525|MEIGNEUX|200071181|CC Somme Sud-Ouest
80526|MEILLARD|200070951|CC du Territoire Nord Picardie
80527|MENESLIES|200070944|CC du Vimeu
80528|MEREAUCOURT|200071181|CC Somme Sud-Ouest
80529|MERELESSART|200070993|CA de la Baie de Somme
80530|MERICOURT-L'ABBE|248000499|CC du Val de Somme
80531|MERICOURT-EN-VIMEU|200071181|CC Somme Sud-Ouest
80532|MERICOURT-SUR-SOMME|248000747|CC du Pays du Coquelicot
80533|MERS-LES-BAINS|247600588|CC des Villes Soeurs
80535|MESGE|200071223|CC Nièvre et Somme
80536|MESNIL-BRUNTEL|200037059|CC de la Haute Somme
80537|MESNIL-DOMQUEUR|200070936|CC Ponthieu-Marquenterre
80538|MESNIL-EN-ARROUAISE|200037059|CC de la Haute Somme
80540|MESNIL-MARTINSART|248000747|CC du Pays du Coquelicot
80541|MESNIL-SAINT-GEORGES|200070977|CC du Grand Roye
80542|MESNIL-SAINT-NICAISE|200070985|CC de l'Est de la Somme
80543|METIGNY|200071181|CC Somme Sud-Ouest
80544|MEZEROLLES|200070951|CC du Territoire Nord Picardie
80545|MEZIERES-EN-SANTERRE|200070969|CC Avre Luce Noye
80546|MIANNAY|200070944|CC du Vimeu
80547|MILLENCOURT|248000747|CC du Pays du Coquelicot
80548|MILLENCOURT-EN-PONTHIEU|200070936|CC Ponthieu-Marquenterre
80549|MIRAUMONT|248000747|CC du Pays du Coquelicot
80550|MIRVAUX|200070951|CC du Territoire Nord Picardie
80551|MISERY|200070928|CC Terre de Picardie
80552|MOISLAINS|200037059|CC de la Haute Somme
80553|MOLLIENS-AU-BOIS|200070951|CC du Territoire Nord Picardie
80554|MOLLIENS-DREUIL|200071181|CC Somme Sud-Ouest
80555|MONCHY-LAGACHE|200070985|CC de l'Est de la Somme
80556|MONS-BOUBERT|200070993|CA de la Baie de Somme
80557|ESTREES-MONS|200037059|CC de la Haute Somme
80558|MONSURES|200071181|CC Somme Sud-Ouest
80559|MONTAGNE-FAYEL|200071181|CC Somme Sud-Ouest
80560|MONTAUBAN-DE-PICARDIE|248000747|CC du Pays du Coquelicot
80561|MONTDIDIER|200070977|CC du Grand Roye
80562|MONTIGNY-SUR-L'HALLUE|200070951|CC du Territoire Nord Picardie
80563|MONTIGNY-LES-JONGLEURS|200070951|CC du Territoire Nord Picardie
80565|MONTONVILLERS|200070951|CC du Territoire Nord Picardie
80566|FIEFFES-MONTRELET|200070951|CC du Territoire Nord Picardie
80568|MORCHAIN|200070985|CC de l'Est de la Somme
80569|MORCOURT|248000499|CC du Val de Somme
80570|MOREUIL|200070969|CC Avre Luce Noye
80571|MORISEL|200070969|CC Avre Luce Noye
80572|MORLANCOURT|248000747|CC du Pays du Coquelicot
80573|MORVILLERS-SAINT-SATURNIN|200071181|CC Somme Sud-Ouest
80574|MOUFLERS|200070936|CC Ponthieu-Marquenterre
80575|MOUFLIERES|200071181|CC Somme Sud-Ouest
80576|MOYENCOURT|200070985|CC de l'Est de la Somme
80577|MOYENCOURT-LES-POIX|200071181|CC Somme Sud-Ouest
